"name","address","phone","rating","number_of_reviews"
"Dr.Krishna Oberoi","JVMM+FF2, Shivala Rd, Near Fatak, West Hussain Pura, Hussainpura, Amritsar, Punjab 143001, India","N/A","No rating available","No reviews"
"( Child dental care) Aesthetica dental care","28, Rose Ave, White Avenue, Amritsar, Punjab 143001, India","099888 29102",4.8,51
"Taneja Dental Clinic","Bus Stand, Near Fatak, West Hussain Pura, City Centre, Amritsar, Punjab 143001, India","098159 20482","No rating available","No reviews"
"New Era Dental Lab","Near Fatak, West Hussain Pura, Hussainpura, Amritsar, Punjab 140003, India","N/A",5,3
"WORLD DENTAL CARE CENTRE","BUILDING NO 46, Rani Ka Bagh, Mohindra Colony, Amritsar, Punjab 143001, India","075084 57089",5,443
"Dentales","LGF-4, Eminent Mall, Mall Rd, Kennedy Avenue, Amritsar, Punjab 143001, India","096815 50009",5,92
"Biala Dental Care & Implant Centre","54a hukam singh road bhavan's S.L.public school lane, Shivala Colony, Amritsar, Punjab 143001, India","098727 61938",4.9,33
"Batra Dental Clinic","Mandir, near, Shivala Rd, Sunder Nagar, Amritsar, Punjab 143001, India","096463 53551",5,1
"Anmol dental clinic","188-b, Rani Ka Bagh, Mohindra Colony, Amritsar, Punjab 143001, India","081463 02177",5,15
"Dr. Parveen Narang","Inside B.K. Dutt Gate, Lohgarh Gate, Katra Ahluwalia, Amritsar, Punjab 143006, India","N/A","No rating available","No reviews"
"Kundan Dental Care Clinic","Building no. 2320, Bus Stand, opposite City Center(Near, Sharifpura, Amritsar, Punjab 143001, India","076967 68939",5,167
"Young's & Café","23A, Lawrence Road, Nagi jawlersh, White Avenue, Amritsar, Punjab 143104, India","N/A","No rating available","No reviews"
"Lawrence Dental Clinic","2 Navi Sadak, Dayanand Nagar, Opp Sanjha Chula, opposite B.B.K DAV college, Opp. BBK DAV College, Dayanand Nagar, Amritsar, Punjab 143001, India","098720 92226",4.8,9
"Modern Dental Clinic","4-A, Ground Floor, Lawrence Road,Nai Sadak, Dayanand Nagar, Amritsar, Punjab 143001, India","090411 04007",4.6,10
"Aanchal Dental Care and Implant Centre","283, near Government Girls School, Shivala Colony, Amritsar, Punjab 143001, India","094637 57946",5,5
"Dr. A.D. Singh","Tilak Nagar, Amritsar, Punjab 143001, India","N/A","No rating available","No reviews"
"Bright Smiles Dental Clinic","JVQP+WMM, Mall Rd, Maharaja Ranjit Singh Nagar, Joshi Colony, Amritsar, Punjab 143001, India","N/A","No rating available","No reviews"
"Dr Gupta's Dental Hub","11 a, Maqbool Rd, White Avenue, Amritsar, Punjab 143001, India","098140 14147",4.9,130
"Dr. Joginder Singh Memorial & Sons Dental Clinic","Dhab Khatikan, Katra Ahluwalia, Amritsar Cantt., Punjab 143006, India","N/A",5,1
"Dr Sood's Dental Point Clinic","106, Shivala Rd, Professor Colony, Tilak Nagar, Amritsar, Punjab 143001, India","098147 77985",5,4
"Dr Neha Arora Dental Clinic","Dr. Neha Arora Dental Clinic, I/s, Beri Gate Market, Amritsar, Punjab 143001, India","077430 26101",5,30
"DR.SATYA NAND SHARMA","Dhab Khatikan, Katra Ahluwalia, Amritsar Cantt., Punjab 143006, India","N/A","No rating available","No reviews"
"Tirupati Dental Care Centre","Shri Nathji Apartment,Osmanpura Road, oppo Hotel Manor besides National Flag, post, beside Dig Jam showroom, New Usmanpura, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","083905 64777",4.9,84
"Raman Dental Clinic","A7, Gajanan Vaibhav Narayan Plaza, Cannought Garden, N 5, Cidco, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","099230 88034",5,76
"CITY DENTAL CENTRE","1st Floor, Mahaveer Complex, Above state bank of hyderabad, akashwani chowk, Jalna Road, Jlal Colony, Kailash Nagar, Mondha, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","099218 12233",4.8,166
"Bhute Spine Clinic And Orthodental Care","Satya dharma complex, between rc bafna jewellers and atul honda showroom,, Aakashwani chowk, Mahesh Nagar, Mondha, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","080871 02525",4.8,77
"PARGAONKAR DENTAL CLINIC","Kalda Corner, Plot No.1/7, New Shreya Nagar, Rachana, Ramanagar, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","0240 233 5314",5,38
"The Lotus Dental Care","Shop No 1, Plot no 7, near Paripurti Nursing Home, opposite Amrutvel Hospital, Shrikrishna Nagar, Ulkanagari, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431009, India","095612 66616",5,8
"Naser Dental Care Centre","Plot Number 20 Ahebab Colony, Urdu School, Kat Kat Gate Rd, near Aneesa, Younus Colony, Kat Kat Gate, N 10, Cidco, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","080075 55568",5,21
"Dental & Oral Care Centre","Block number 8, First floor, Disha Square Building, near Devgiri Bank, behind Gajanan Book Store, Sutgirni Chowk, Kasliwal Nagar, Garkheda, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431005, India","098227 70880",5,43
"The Tooth Clinic","Plot no. 5 Sahajeevan co op society, Opp. Vawan Hari Pethe Jewellers, Sahjeevan Colony, Nutan Colony, Samarth Nagar, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","N/A",4.9,27
"Sharda Dental Hospital","Anjana Complex, Opp. Cannought Garden North Gate, Near Bombay Stationery, Cannought Place, CIDCO Cannought, Cidco, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431003, India","098226 61654",4.4,7
"Dr Hedgewar Rugnalaya","Near Gajanand Maharaj Mandir, Road, Jawahar Colony, Garkheda, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431005, India","0240 224 5000",4,634
"Dr. Bhagyashree Ambewadikar","Indrayani Multispeciality Dental Clinic, Bajrang Chowk Rd, N-6, Cidco, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431003, India","080 4696 1837","No rating available","No reviews"
"Goklani's Dental & Cosmetic Clinic","Jalna Road, opp. Akashwani Kendra, near Medical, Jlal Colony, Kailash Nagar, Mondha, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","094046 06090",4.6,41
"Shri Mahavir Dental Speciality Clinic","Opp. Akashwani, Mahesh Nagar, Ahinsanagar, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","N/A",4.8,4
"Relief Dental Clinic","First floor satyadharm complex akashwani chowk, V8GW+QJC, Mahesh Nagar, Mondha, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431003, India","N/A","No rating available","No reviews"
"Dr. Seemit Shah","Apex Hospital Road, Jalna Road, Opp. S.F.S. School, Venkatesh Nagar, Mondha, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","098231 29828",4.7,14
"BANG DENTAL CLINIC","7, Jalna Road, Opp. S.F.S. School, Mahesh Nagar, Mondha, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","0240 232 5966",5,1
"Jain Clinic","V8FW+797, Bhanudas Nagar, Jawahar Nagar, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431003, India","098508 99377","No rating available","No reviews"
"Dr Smita Shinde - Best Dentist In Aurangabad, Root Canal Specialist & Dental Implant Surgeon","Plot No.11, Carewell Superspeciality Hospital, Jalna Road, opp. S.F.S School, Venkatesh Nagar, New Usmanpura, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","070219 55835",5,30
"Dwarka Dental Clinic","First Floor, Chetan Super Market, Trimurti Chowk, Jawahar Colony, Trimurti Chowk, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","098222 99733",4.9,18
"अष्टविनायक Dental Clinic & Implant Center","Lokmitra Colony, Sindhi Colony, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","070307 77723",4,2
"Anmol","N-3-5-712, Sanjay Nagar, Mondha, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","N/A","No rating available","No reviews"
"CareKid Dental Center","Office no. 217, 1st floor, Matrix Business center, Kalda Corner, Chetana Nagar, Sindhi Colony, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","093700 54404",5,126
"Sarvadnya Advance Dental Care, Ch. Sambhajinagar ( Aurangabad)","Shop No. 118,119 Ground Floor, Matrix Complex, Kalda Corner, Chetana Nagar, Sindhi Colony, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","074988 97532",5,307
"Crowns n Braces Orthodontic & Implant Dental clinic","3rd floor, Matrix business center, opposite HP petrol pump, above sudarshan netralay, Kalda Corner, Chetana Nagar, Sindhi Colony, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","099690 83409",5,16
"Kranti Dental Care - best dental clinic in Aurangabad,laser,Cosmetic,Root canal,Implantologist,Crown,Implants,Tooth Filling","Om 25, Shri Vyankatesh Housing Society, jawahar Colony Area, Near Chetak Chetak ghoda Chowk, Shastri Nagar, Sindhi Colony, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431005, India","087669 21820",4.9,122
"Dr. Tejal Pallod DentalWorld Dental Clinic & Implant Center","Jalna road, second floor, Oberoi chamber, beside hotel amarpreet, Rokda Hanuman Colony, Mondha, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","093250 42232",5,99
"PEARL DENTAL CLINIC","V8PR+2HQ, Jinsi Police Station Rd, Nawabpura, Mondha, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431003, India","N/A","No rating available","No reviews"
"Shinde Speciality Dental & Implant Center | Best Dentist in Aurangabad | Root Canal Specialist | Dental Implant Surgeon","Goodman's Residency, Shop No. 2 7 hills, to, Gajanan Maharaj Mandir Rd, near HDFC bank, Vidya Nagar, Nyay Nagar, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431005, India","082750 04720",5,101
"Dr. Patil's Complete Dental Solutions","Shreya Nagar Old, New Usmanpura, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","N/A","No rating available","No reviews"
"JAMBURE DENTAL CLINIC","Siddhi arcade, Darga Rd, near hdfc bank, Kalda Corner, Shreya Nagar Old, New Usmanpura, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431005, India","077093 18905",4.8,78
"Dr. Pallavi Gokhale","Plot No 50, Chetak Ghoda Chowk, opp. Sapna Super Market, Jai Vishwa Bharti Colony, Ulkanagari, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431005, India","1860 500 1066","No rating available","No reviews"
"Ambulgekar’s Smilax Dental Care","Flat no1, Vaibhavshree Apartment, Agnihotri Chowk Rd, near Chetak ghoda, Aanad Nagar, Shastri Nagar, Sindhi Colony, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","N/A",5,31
"Om Dental clinic","Om dental clinic, Ulkanagari Rd, Garkheda Area, Ulkanagari, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431005, India","N/A",5,7
"बालाजी दातांचा दवाखाना","V88W+82H, Golvalkar Guruji Marg, Basant Bahar, Ulkanagari, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431009, India","N/A","No rating available","No reviews"
"Dr. Wahab Shaikh","Noor Super Speciality Dental Hospital & Cancer Clinic, Galli Number 18, opp. Buddh Vihar, near Rahat Hospital, Baijipura, Indira Nagar, Mondha, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431003, India","084215 86542",5,6
"Dental & Oral Care Centre","7, Garkheda Rd, Sarang Housing Society, Gajanan Maharaj Mandir Chowk, Garkheda, Sandesh Nagar, Chaitanya Nagar, Garkheda, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431005, India","0240 245 1577","No rating available","No reviews"
"Dr Ghunawat Microdentistry","119,Behind Roplekar Hospital, Krishnaparijat, Tilaknagar, New Usmanpura, Tilaknagar, Ulkanagari, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","098907 52227",4.9,15
"Somulwar Dental Clinic and Root Canal Centre","Khivansara park, Garkheda Area, Ulkanagari, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","N/A","No rating available","No reviews"
"Arham Dental Clinic","Shop No.F, khivansara Mayfair, 08, Ulkanagari Rd, near Eknat Hospital, Ashok Nagar, Garkheda, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","N/A",4.6,5
"Shree Jeevan Dental Care","Shop no. F16, 1st floor, August High Street Complex, Garkheda Area, Ulkanagari, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","083901 65777",5,5
"Positive Dental Clinic And Root Canal Centre","shariff colony, Al-meer school, Roshan Gate Rd, Sharif Colony, Jaswantpura, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","099607 43888",5,1
"Dr.m.a Pasha Dental Clinic","Roshan Gate, Sharif Colony, Jaswantpura, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431003, India","098223 37907",5,1
"Dr. Gyansudha D. Gawali - Best Dentist in Aurangabad","Dental Roots, Shop No. 6, Disha Sankul Complex, near Reliance Mall, Chhatrapati Nagar, Chattrapati Nagar, Garkheda, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","0788 780 6807","No rating available","No reviews"
"Dental Roots","Shop No. 6, Disha Sankul Complex, near Reliance Mall, Chhatrapati Nagar, Chattrapati Nagar, Garkheda, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","0788 780 6807",5,5
"MEHER DENTAL CLINIC","Shahgunj, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431003, India","N/A","No rating available","No reviews"
"Perfect Smile Dental Clinic","Perfect Smile Dental Clinic, near central octroi, Sambhaji Colony, Mathura Nagar, N-6, Cidco, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431002, India","097655 17777",4.9,110
"Abhi's Dental Clinic","Ground floor, Plot no, 95B, ShreeNidhi building, besides Bilgee hospital, near Kalda corner, Shambhu Mahadev Nagar, Shreya Nagar, New Usmanpura, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431005, India","090045 77044",5,16
"Manal Dental Clinic","Chelipura, Shahgunj, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","N/A","No rating available","No reviews"
"Subhan Allah Dental Clinic","Shahbazaar, near Kali Masjid T.T.S.(Ahle Sunnat Wa Jamaat)(Zohar-1:30, Juma-1:30), Labar Colony, Shah Bazar, Chhatrapati Sambhajinagar (Aurangabad), Maharashtra 431001, India","N/A",5,5
"Bansal Dental Care","62, Saharanpur Rd, Arhat Bazaar, Lakkhi Bagh, Dehradun, Uttarakhand 248001, India","097604 36805",4.7,77
"Dr. Sneha Sarin's SmileCraft Dental Clinic","168 - Arhat Bazaar, Opp. Hotel Narula, Saharanpur Road, Laxman Chowk, Laxman Chowk, Dehradun, Uttarakhand 248001, India","070880 57057",4.7,62
"Perfect Smile Dental Care & Implant Centre","25, Tilak Rd, Near Silver bells school, Tilak Nagar, Khurbura Mohalla, Dehradun, Uttarakhand 248001, India","094113 11030",4.8,85
"AGRAWAL DENTAL CLINIC","82GP+R4V Rajshree Complex, Chakrata Rd, near CHARAK PATHOLOGY, near Nari Shilp Girls Inter College, Tagore Villa, Chukkuwala, Dehradun, Uttarakhand 248001, India","094567 56700",4.8,614
"Dr.Patil Dental Implant and Laser Centre","Subhash Rd, Irigation Colony, Karanpur, Dehradun, Uttarakhand 248001, India","0135 271 2733",3.5,13
"DENTOCARE DENTAL AND IMPLANT CENTRE","460, GMS Rd, Engineers Enclave, Kanwali, Dehradun, Uttarakhand 248001, India","097603 27027",4.9,142
"Dr Rastogi’s Dental Clinic","Shop No. 4, Chanakya Towers, Dilaram Bazar, Kandholi, Chironwali, Dehradun, Uttarakhand 248001, India","094120 52826",4.3,105
"Smile Zone Dental Care Centre","near Punjab National Bank, Anurag Chowk, Dehradun, Uttarakhand 248001, India","098975 81019",4.6,38
"Parish dental clinic","SHOP NO-4,RR-TOWER, Kargi Rd, Brahmanwala, Dehradun, Uttarakhand 248001, India","097607 23147",4.5,11
"Dentist Dehradun","First Floor, Victory Point, 34, Ballupur Rd, Ram Vihar, Ballupur, Dehradun, Uttarakhand 248001, India","099970 03844",5,74
"Health Column","33, Saket Colony, Ajabpur Kalan, Dehradun, Uttarakhand 248001, India","0135 266 9707",4.3,10
"Dental Plus Clinic / Dr. Jigyasa Bhardwaj","Dental Plus Clinic, Rispana Bridge, Pragati Vihar, Ajabpur Kalan, Dehradun, Uttarakhand 248001, India","087557 03677",5,37
"Dr Kanika Kohli Dental Surgeon","35, Arhat Bazar Rd, Saharanpur Chowk, Jhanda Bazar, Arhat Bazaar, Jhanda Mohalla, Dehradun, Uttarakhand 248001, India","0135 272 0063",4,49
"Nayti Dental Clinic","56/2, Kanwali Rd, Saharanpur Chowk, Jhanda Bazar, Jhanda Mohalla, Dehradun, Uttarakhand 248001, India","099275 27740",4.9,10
"Smile Please Dentocare & Implant Centre","30, Kamal Market, Pipal Mandi, Dhamawala Mohalla, Paltan Bazaar, Dehradun, Uttarakhand 248001, India","094573 55661",5,37
"Dr. Abhishek Vashist- Dental Surgeon in Dehradun","My Dental Clinic 70, Uttrakhand Gramin Bank, Saharanpur Rd, Arhat Bazaar, Lakkhi Bagh, Dehradun, Uttarakhand 248001, India","099978 00022","No rating available","No reviews"
"Dr. Sunny Remedo","10, Paltan Bazar Rd, Tilak Nagar, Jhanda Mohalla, Dehradun, Uttarakhand 248001, India","N/A",5,1
"Dental Impression","Ground Floor, PLS Plaza, BG 07, Gandhi Rd, near SBI, Dhamawala Mohalla, Dhamawala Bazaar, Dehradun, Uttarakhand 248001, India","081710 48085",4.5,13
"Dr. Alok Teotia","Indresh Nagar, Laxman Chowk, Dehradun, Uttarakhand 248001, India","N/A","No rating available","No reviews"
"The Dental Clinic | Dr. Priyanka Mittal | General Dental practitioner | Chukkuwala, Dehradun","40, Chakrata Rd, near ICICI Bank, Tagore Villa, Chukkuwala, Dehradun, Uttarakhand 248001, India","097600 30679","No rating available","No reviews"
"Rizvi Brothers","Shop-109, near Kotwali, Kotwali, Ajit Prasad Nagar, Paltan Bazaar, Dehradun, Uttarakhand 248001, India","078953 02273","No rating available","No reviews"
"Dentara - Best Dentist in Dehradun | Braces | Implants | Dental Clinic | RCT | Clinical Cosmetologist","39, Court Rd, opposite S.S.P Office, Race Course, Dehradun, Uttarakhand 248001, India","082798 08323",4.9,117
"SAI KRIPA DENTAL IMPLANT SOLUTIONS","84/45, Ansari Marg, near MAA KAALIKA TEMPLE, Machhi Bazar, Paltan Bazaar, Dehradun, Uttarakhand 248001, India","098371 34939",4.6,22
"THE SMILE ESSENTIAL DENTAL CLINIC","63, Ansari Marg, Machhi Bazar, Connaught Place, Dehradun, Uttarakhand 248001, India","N/A",4.9,95
"Rawat dental clinic","6, New Rd, Near Government Doon Medical College Hospital, Race Course, Dehradun, Uttarakhand 248001, India","090120 80298",4.7,12
"Hari Ram Kohli Memorial Hospital","6,2b, Haridwar Rd, Shiv Nagar, Old Nehru Colony, Dharampur, Dehradun, Uttarakhand 248001, India","094563 00063",3.9,198
"Aradhana Dental Care","58 A New, Connaught Place, Dehradun, Uttarakhand 248001, India","095571 83100","No rating available","No reviews"
"Dr. Vineet Verma- Dentist in Dehradun","Ayushmaan Dental Clinic, Sbi Bank, C- 302, Govind Garh Rd, Prakash Nagar, Yamuna Colony, Khurbura Mohalla, Dehradun, Uttarakhand 248001, India","097617 40018","No rating available","No reviews"
"Dental Care Centre","Dispensary Road , K C City Centre , opp Gandhi inter college, Darshan Lal Chowk, Harrawala, Dehradun, Uttarakhand 248001, India","N/A",4.2,25
"32 Whites - Dental Clinic","1, Omkar Plaza, Bindal Bridge, Clock Tower, Chakrata Rd, Bindaal Tirahya, Khurbura Mohalla, Dehradun, Uttarakhand 248001, India","0135 262 9999",5,2
"BELWAL DENTAL CLINIC","3/233, Chakrata Rd, opp. Prabhat Cinema, Chukkuwala, Dehradun, Uttarakhand 248001, India","N/A",5,7
"Dr. U. C. Chandna","Clock Tower, Chukkuwala, Dehradun, Uttarakhand 248001, India","N/A","No rating available","No reviews"
"Udant","1, Race Course Rd, Amarshahid Anand Colony, Race Course, Dehradun, Uttarakhand 248001, India","N/A","No rating available","No reviews"
"Dr. Krishna Prakash","Haridwara RoaEastern Canal Road, 105, Dehradun Uttarakhand 248001 IN, 65, EC Road, adjoining Police Chauki, Guru Nanak Vihar, Race Course, Araghard, Dehradun, Uttarakhand 248001, India","N/A",5,1
"Dr. Harish Joshi","Indraprasth Lane No. 8, Punjab National Bank, Ring Rd, Nehrugram, Dehradun, Uttarakhand 248005, India","N/A",5,1
"Smile Design","829W+27Q, New Rd, Race Course, Dehradun, Uttarakhand 248001, India","N/A","No rating available","No reviews"
"Dental Hub: Braces and Implant Centre","Suri chowk, opposite Axis bank, above beenos fast food, East Rest Camp, Guru Nanak Vihar, Race Course, Dehradun, Uttarakhand 248001, India","098059 05858",5,27
"Dr. Anjum Aggarwal's Dental Clinic","F-1, Race Course Rd, Near, Police Line, East Rest Camp, Chander Nagar, Race Course, Dehradun, Uttarakhand 248001, India","N/A",5,2
"Dr.Mehta's Dental Centre","16 A, 16A, New Rd, near Uttranchal Gramin Bank Head Office, near MKP crossing, Race Course, Dehradun, Uttarakhand 248001, India","0135 265 4445",3.9,26
"Dr. Vimal Paul","Kanwali Rd, MDDA Colony, Govind Garh, Khurbura Mohalla, Dehradun, Uttarakhand 248001, India","N/A","No rating available","No reviews"
"Dr. Tanu Anand- Dental Surgeon in Dehradun","Dental Solutions, 51/4-B, Haridwar Rd, near sanjana pathology lab, East Rest Camp, Guru Nanak Vihar, Race Course, Dehradun, Uttarakhand 248001, India","088595 44167",5,1
"Dr. Kartikay Kasariya","New Rd, near Dwarka Store, Race Course, Dehradun, Uttarakhand 248001, India","N/A",5,9
"Tooth Fairy kids & Family Dental Care","chowk, near Pathri bagh, opp. SLV Inter college, Patel Nagar, Dehradun, Uttarakhand 248001, India","095288 75891",5,63
"beyond smiles, dental clinic and implant centre","d, 34, Race Course Rd, opp. police line ground, Guru Nanak Vihar, Race Course, Dehradun, Uttarakhand 248001, India","0135 272 1537",4.8,114
"Dr. Ashish Negi","General Mahadev Singh Rd, near Hotel Sun Park In, Shakti Enclave, Kaonli, Dehradun, Uttarakhand 248171, India","096903 72441","No rating available","No reviews"
"Dr. R.K. Verma","Chukkuwala, Dehradun, Uttarakhand 248001, India","N/A","No rating available","No reviews"
"Saleem Pahalwan","Shree Ram Shopping Complex, Kanwali Rd, Shriram Puram Colony, Kaonli Road, Dehradun, Uttarakhand 248001, India","092191 16673","No rating available","No reviews"
"Doon Family Dental Clinic","Haridwar Rd, near Doon Valley Nursing home, East Rest Camp, Guru Nanak Vihar, Race Course, Dehradun, Uttarakhand 248001, India","099178 07508",4.8,5
